mKate,EBFP2,gRNA,uORF,EYFP,cellCount
105925.3725,13335.2143,1,1,880007.0757,38
105925.3725,133352.1432,1,1,5115165.207,270
105925.3725,1333521.432,1,1,27343244.75,116
105925.3725,23713.7371,1,1,1010681.662,111
105925.3725,237137.3706,1,1,13726815.7,254
105925.3725,2371373.706,1,1,46803064.71,97
105925.3725,42169.6503,1,1,1409237.415,244
105925.3725,421696.5034,1,1,22301071.19,219
105925.3725,4216965.034,1,1,29092187.46,48
105925.3725,74989.4209,1,1,2965856.494,320
105925.3725,749894.2093,1,1,25193761.15,166
1188.5022,133.3521,1,1,372391.7694,28
1188.5022,1333.5214,1,1,171237.7863,335
1188.5022,13335.2143,1,1,327864.2565,212
1188.5022,133352.1432,1,1,862358.8422,21
1188.5022,237.1374,1,1,106018.6479,51
1188.5022,2371.3737,1,1,164859.8789,664
1188.5022,23713.7371,1,1,579518.944,116
1188.5022,421.6965,1,1,147418.6248,135
1188.5022,4216.965,1,1,178504.9808,903
1188.5022,42169.6503,1,1,1114921.021,68
1188.5022,749.8942,1,1,173472.425,182
1188.5022,7498.9421,1,1,207468.4786,664
1188.5022,74989.4209,1,1,1713053.126,28
13335.2143,13335.2143,1,1,294632.2365,259
13335.2143,133352.1432,1,1,2027492.362,222
13335.2143,2371.3737,1,1,167183.1784,39
13335.2143,23713.7371,1,1,499686.7556,246
13335.2143,237137.3706,1,1,3458969.042,169
13335.2143,4216.965,1,1,181611.173,86
13335.2143,42169.6503,1,1,1183120.155,234
13335.2143,421696.5034,1,1,2941195.599,104
13335.2143,7498.9421,1,1,244628.0715,182
13335.2143,74989.4209,1,1,1803454.746,236
13335.2143,749894.2093,1,1,3685704.795,55
149623.5656,133352.1432,1,1,6812731.756,210
149623.5656,1333521.432,1,1,33873020.49,79
149623.5656,23713.7371,1,1,1925838.186,50
149623.5656,237137.3706,1,1,15293393.72,196
149623.5656,2371373.706,1,1,44981975.05,89
149623.5656,42169.6503,1,1,2506393.437,133
149623.5656,421696.5034,1,1,20740314.36,118
149623.5656,4216965.034,1,1,22790519.05,40
149623.5656,74989.4209,1,1,4462199.201,202
149623.5656,749894.2093,1,1,25818903.86,82
1678.804,133.3521,1,1,180897.688,51
1678.804,1333.5214,1,1,164646.9621,300
1678.804,13335.2143,1,1,399681.1783,301
1678.804,133352.1432,1,1,870609.3136,25
1678.804,2371.3737,1,1,177184.9988,670
1678.804,23713.7371,1,1,602932.4191,131
1678.804,421.6965,1,1,170426.7848,146
1678.804,4216.965,1,1,183483.5536,929
1678.804,42169.6503,1,1,724450.8967,115
1678.804,749.8942,1,1,190294.5014,153
1678.804,7498.9421,1,1,213285.6867,828
1678.804,74989.4209,1,1,1043823.534,42
18836.4909,13335.2143,1,1,317102.2485,226
18836.4909,133352.1432,1,1,2629082.479,223
18836.4909,1333521.432,1,1,4413260.021,41
18836.4909,2371.3737,1,1,363527.6994,37
18836.4909,23713.7371,1,1,401674.6857,286
18836.4909,237137.3706,1,1,3096014.44,241
18836.4909,2371373.706,1,1,9718604.09,21
18836.4909,4216.965,1,1,239725.4295,64
18836.4909,42169.6503,1,1,1001510.887,254
18836.4909,421696.5034,1,1,6292426.605,168
18836.4909,7498.9421,1,1,252456.5444,151
18836.4909,74989.4209,1,1,2123727.212,215
18836.4909,749894.2093,1,1,4152252.808,81
211348.904,133352.1432,1,1,9657345.744,148
211348.904,1333521.432,1,1,40302180.47,36
211348.904,23713.7371,1,1,3148368.039,26
211348.904,237137.3706,1,1,16452540.54,111
211348.904,2371373.706,1,1,46844814.3,43
211348.904,42169.6503,1,1,3784808.484,55
211348.904,421696.5034,1,1,26849883.93,61
211348.904,4216965.034,1,1,40570110.27,41
211348.904,74989.4209,1,1,5973383.937,84
211348.904,749894.2093,1,1,18863926.58,31
2371.3737,133.3521,1,1,216076.492,41
2371.3737,1333.5214,1,1,180894.5572,220
2371.3737,13335.2143,1,1,368771.3235,374
2371.3737,133352.1432,1,1,998957.3663,32
2371.3737,2371.3737,1,1,195302.3927,511
2371.3737,23713.7371,1,1,548009.9296,195
2371.3737,421.6965,1,1,142162.5739,101
2371.3737,4216.965,1,1,190260.089,846
2371.3737,42169.6503,1,1,712929.4122,143
2371.3737,749.8942,1,1,145268.3332,102
2371.3737,7498.9421,1,1,226524.395,849
2371.3737,74989.4209,1,1,1082003.004,77
26607.2506,13335.2143,1,1,340007.2872,226
26607.2506,133352.1432,1,1,3642919.315,275
26607.2506,1333521.432,1,1,13610138.97,70
26607.2506,2371.3737,1,1,217830.0065,26
26607.2506,23713.7371,1,1,463807.5951,327
26607.2506,237137.3706,1,1,6360961.066,281
26607.2506,2371373.706,1,1,5520445.551,41
26607.2506,4216.965,1,1,141665.2608,53
26607.2506,42169.6503,1,1,955926.8741,324
26607.2506,421696.5034,1,1,8166468.778,248
26607.2506,7498.9421,1,1,239596.691,130
26607.2506,74989.4209,1,1,2031618.128,258
26607.2506,749894.2093,1,1,7369008.837,133
298538.2619,133352.1432,1,1,11380342.04,53
298538.2619,237137.3706,1,1,14659174.79,47
298538.2619,2371373.706,1,1,65768073.42,28
298538.2619,421696.5034,1,1,29654660.84,27
298538.2619,4216965.034,1,1,79719778.61,24
298538.2619,74989.4209,1,1,5579118.864,37
3349.6544,133.3521,1,1,139668.8387,22
3349.6544,1333.5214,1,1,171429.0383,122
3349.6544,13335.2143,1,1,340390.2523,381
3349.6544,133352.1432,1,1,1272525.041,47
3349.6544,2371.3737,1,1,199529.562,259
3349.6544,23713.7371,1,1,590613.4049,245
3349.6544,237137.3706,1,1,1385173.793,26
3349.6544,421.6965,1,1,206542.0037,43
3349.6544,4216.965,1,1,212980.0314,464
3349.6544,42169.6503,1,1,1099244.501,161
3349.6544,749.8942,1,1,213448.943,44
3349.6544,7498.9421,1,1,234485.783,618
3349.6544,74989.4209,1,1,1156715.93,104
37583.7404,13335.2143,1,1,334808.8592,199
37583.7404,133352.1432,1,1,3858366.993,305
37583.7404,1333521.432,1,1,13406319.18,92
37583.7404,23713.7371,1,1,449058.359,302
37583.7404,237137.3706,1,1,7452243.954,335
37583.7404,2371373.706,1,1,10904075.15,59
37583.7404,4216.965,1,1,315185.4004,42
37583.7404,42169.6503,1,1,791180.4225,364
37583.7404,421696.5034,1,1,10418920.95,337
37583.7404,4216965.034,1,1,5921349.165,31
37583.7404,7498.9421,1,1,281201.0523,80
37583.7404,74989.4209,1,1,1574225.48,268
37583.7404,749894.2093,1,1,11956932.33,190
4731.5126,1333.5214,1,1,229933.8602,43
4731.5126,13335.2143,1,1,349420.9585,300
4731.5126,133352.1432,1,1,1716325.484,87
4731.5126,2371.3737,1,1,158049.4447,93
4731.5126,23713.7371,1,1,611630.4793,250
4731.5126,237137.3706,1,1,1475799.289,52
4731.5126,4216.965,1,1,217651.1761,188
4731.5126,42169.6503,1,1,1121542.533,190
4731.5126,421696.5034,1,1,2978346.72,22
